,jop_title,company_name,location,type,links
25,Data Analysis Instructor (Excel - Power BI),EpsilonAI -,"Nasr City, Cairo, Egypt ",Full TimePart TimeFreelance / Project,https://wuzzuf.net/jobs/p/oOKRpUGGzzuO-Data-Analysis-Instructor-Excel---Power-BI-EpsilonAI-Cairo-Egypt?o=26&l=sp&t=sj&a=data%20science|search-v3|hpb
26,Senior Data Insights Specialist,WUZZUF -,"Cairo, Egypt ",Full TimeWork From Home,https://wuzzuf.net/jobs/p/QewilVmKKm8a-Senior-Data-Insights-Specialist-WUZZUF-Cairo-Egypt?o=27&l=sp&t=sj&a=data%20science|search-v3|hpb
27,Senior Data Center Engineer,Smart System -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/ySBdyrYqiyty-Senior-Data-Center-Engineer-Smart-System-Cairo-Egypt?o=28&l=sp&t=sj&a=data%20science|search-v3|hpb
28,Senior Data Engineer,Worex -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/eDPM1YPgMI8J-Senior-Data-Engineer-Worex-Cairo-Egypt?o=29&l=sp&t=sj&a=data%20science|search-v3|hpb
29,Data Center Engineer,IDEMIA EGYPT -,"Sheraton, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/8FX4kOLvhJIQ-Data-Center-Engineer-IDEMIA-EGYPT-Cairo-Egypt?o=30&l=sp&t=sj&a=data%20science|search-v3|hpb
30,Project Manager - Data Networks (ICT),SABA -,"Heliopolis, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/yIX55BzTN13K-Project-Manager---Data-Networks-ICT-SABA-Cairo-Egypt?o=31&l=sp&t=sj&a=data%20science|search-v3|hpb
31,Data Labeler,Micro Engineering -,"Heliopolis, Cairo, Egypt ",Full TimeShift Based,https://wuzzuf.net/jobs/p/uMrqG5Nup6vp-Data-Labeler-Micro-Engineering-Cairo-Egypt?o=32&l=sp&t=sj&a=data%20science|search-v3|hpb
32,Data Analyst,GPS -,"Nozha, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/3gKxwLEn2AQf-Data-Analyst-GPS-Cairo-Egypt?o=33&l=sp&t=sj&a=data%20science|search-v3|hpb
33,Senior Python Developer,Stackzy -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/k7LetgYe0WZg-Senior-Python-Developer-Stackzy-Giza-Egypt?o=34&l=sp&t=sj&a=data%20science|search-v3|hpb
34,Power BI Developer,BI-Technologies -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/KIEsf1VNGrM0-Power-BI-Developer-BI-Technologies-Cairo-Egypt?o=35&l=sp&t=sj&a=data%20science|search-v3|hpb
35,Senior Digital Data Analyst (Remote Job),Mindfield -,"New Cairo, Cairo, Egypt ",Full TimeWork From Home,https://wuzzuf.net/jobs/p/HKEQYe3RTJbt-Senior-Digital-Data-Analyst-Remote-Job-Mindfield-Cairo-Egypt?o=36&l=sp&t=sj&a=data%20science|search-v3|hpb
36,Business Intelligence (BI) specialist,Johnson Controls -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/l9VKk9akWvNX-Business-Intelligence-BI-specialist-Johnson-Controls-Cairo-Egypt?o=37&l=sp&t=sj&a=data%20science|search-v3|hpb
37,Business System Analyst,The Food Lab -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/1dM41TI8bc8w-Business-System-Analyst-The-Food-Lab-Cairo-Egypt?o=38&l=sp&t=sj&a=data%20science|search-v3|hpb
38,Business Intelligence Team Leader,Future Group -,"Dokki, Giza, Egypt ",Full TimeWork From Home,https://wuzzuf.net/jobs/p/IqrtUasALbXR-Business-Intelligence-Team-Leader-Future-Group-Giza-Egypt?o=39&l=sp&t=sj&a=data%20science|search-v3|hpb
39,Senior Business Intelligence -Cairo,Alkan CIT -,"Mokattam, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/q8QHbFoVS0sI-Senior-Business-Intelligence--Cairo-Alkan-CIT-Cairo-Egypt?o=40&l=sp&t=sj&a=data%20science|search-v3|hpb
40,Senior Data Engineer,Edentech -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/egXP5qBhk2WO-Senior-Data-Engineer-Edentech-Cairo-Egypt?o=41&l=sp&t=sj&a=data%20science|search-v3|hpb
41,SAP Data Entry Team Leader,Confidential -,"10th of Ramadan City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/MTxZMRn6iUSV-SAP-Data-Entry-Team-Leader-Cairo-Egypt?o=42&l=sp&t=sj&a=data%20science|search-v3|hpb
42,Full Stack Developer Angular & Java ( R&D ),Cegedim -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/IR3ze1CYJEqL-Full-Stack-Developer-Angular-Java-RD-Cegedim-Cairo-Egypt?o=43&l=sp&t=sj&a=data%20science|search-v3|hpb
43,Front End Developer (Vue.js),Dafa -,"Haram, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/CVtiKoKUk3hY-Front-End-Developer-Vuejs-Dafa-Giza-Egypt?o=44&l=sp&t=sj&a=data%20science|search-v3|hpb
44,Senior Data Engineer,Cashcall -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/ys4J6bHOlyOm-Senior-Data-Engineer-Cashcall-Cairo-Egypt?o=45&l=sp&t=sj&a=data%20science|search-v3|hpb
45,Big Data Project Team Lead,Worex -,"Riyadh, Saudi Arabia ",Full Time,https://wuzzuf.net/jobs/p/31PWy8Ewd2NU-Big-Data-Project-Team-Lead-Worex-Riyadh-Saudi-Arabia?o=46&l=sp&t=sj&a=data%20science|search-v3|hpb
46,Health Care Technical Support,Sidra -,"Heliopolis, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/nSRwFNn4RWwx-Health-Care-Technical-Support-Sidra-Cairo-Egypt?o=47&l=sp&t=sj&a=data%20science|search-v3|hpb
