,jop_title,company_name,location,type,links
105,Senior Full Stack Developer 22001,Dimensions Information Technology -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/UeMUQG73NUz1-Senior-Full-Stack-Developer-22001-Dimensions-Information-Technology-Cairo-Egypt?o=106&l=sp&t=sj&a=data%20science|search-v3|hpb
106,Team Lead Senior Java Developer,Yeshtery -,"Rehab City, Cairo, Egypt ",Full TimePart TimeWork From Home,https://wuzzuf.net/jobs/p/S4fusbA3X9Px-Team-Lead-Senior-Java-Developer-Yeshtery-Cairo-Egypt?o=107&l=sp&t=sj&a=data%20science|search-v3|hpb
107,Java Developer (Spring),Cegedim -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/YIANw4lKIaYm-Java-Developer-Spring-Cegedim-Cairo-Egypt?o=108&l=sp&t=sj&a=data%20science|search-v3|hpb
108,Senior Automation Test Engineer - (Java),Cegedim -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/JRz48RVmoGht-Senior-Automation-Test-Engineer---Java-Cegedim-Cairo-Egypt?o=109&l=sp&t=sj&a=data%20science|search-v3|hpb
109,"Integration Engineer ( Java, J2EE,Docker, Kubernetes, API, WebMethods)",ITS  -,"Kuwait City, Kuwait ",Full Time,https://wuzzuf.net/jobs/p/py8jTKR3FKYv-Integration-Engineer-Java-J2EEDocker-Kubernetes-API-WebMethods-ITS-Kuwait-City-Kuwait?o=110&l=sp&t=sj&a=data%20science|search-v3|hpb
110,Front-End Developer ( Angular),Cegedim -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/Zws0SquFKe1I-Front-End-Developer-Angular-Cegedim-Cairo-Egypt?o=111&l=sp&t=sj&a=data%20science|search-v3|hpb
111,Senior Java Developer,Cegedim -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/Fz3Eh4wu2eJS-Senior-Java-Developer-Cegedim-Cairo-Egypt?o=112&l=sp&t=sj&a=data%20science|search-v3|hpb
112,Frontend Developer(E-Business),Cegedim -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/qElqMeD5bm4m-Frontend-DeveloperE-Business-Cegedim-Cairo-Egypt?o=113&l=sp&t=sj&a=data%20science|search-v3|hpb
113,Senior Automation Test Engineer -(Java),Cegedim -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/bVmttB1bJMp7-Senior-Automation-Test-Engineer--Java-Cegedim-Cairo-Egypt?o=114&l=sp&t=sj&a=data%20science|search-v3|hpb
114,Senior Front End Developer,International Advanced  -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/x76LlE4K4u5U-Senior-Front-End-Developer-International-Advanced-Cairo-Egypt?o=115&l=sp&t=sj&a=data%20science|search-v3|hpb
115,Senior Java Developer,Musala Soft -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/zzMMPockPzx1-Senior-Java-Developer-Musala-Soft-Cairo-Egypt?o=116&l=sp&t=sj&a=data%20science|search-v3|hpb
116,Cloud Solution Engineer - R&D,Link Datacenter -,"Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/ORsKVUR16qTo-Cloud-Solution-Engineer---RD-Link-Datacenter-Giza-Egypt?o=117&l=sp&t=sj&a=data%20science|search-v3|hpb
117,Testing Supervisor,Etisal EG -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/r1fbIBgOKkCp-Testing-Supervisor-Etisal-EG-Giza-Egypt?o=118&l=sp&t=sj&a=data%20science|search-v3|hpb
118,Senior .NET Developer,Kick Start Interactive -,"Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/Gl6h6PGALS6X-Senior-NET-Developer-Kick-Start-Interactive-Giza-Egypt?o=119&l=sp&t=sj&a=data%20science|search-v3|hpb
119,Software Engineer (React JS),Qoyod -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/54Ryo3PSJOUU-Software-Engineer-React-JS-Qoyod-Cairo-Egypt?o=120&l=sp&t=sj&a=data%20science|search-v3|hpb
120,Power BI Developer,RMG -,"Cairo, Egypt ",Part TimeFreelance / Project,https://wuzzuf.net/jobs/p/u85RcofgJrnG-Power-BI-Developer-RMG-Cairo-Egypt?o=121&l=sp&t=sj&a=data%20science|search-v3|hpb
121,IT Specialist,ABCO Group  -,"Bourj Alarab, Alexandria, Egypt ",Full Time,https://wuzzuf.net/jobs/p/NIZKJkZLVzMJ-IT-Specialist-ABCO-Group-Alexandria-Egypt?o=122&l=sp&t=sj&a=data%20science|search-v3|hpb
122,Software Developer (.Net),BI-Technologies -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/a01iOs28XUCm-Software-Developer-Net-BI-Technologies-Cairo-Egypt?o=123&l=sp&t=sj&a=data%20science|search-v3|hpb
123,Application Support Team Leader,E-tax -,"Abu Rawash, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/r36PJvRaid37-Application-Support-Team-Leader-E-tax-Giza-Egypt?o=124&l=sp&t=sj&a=data%20science|search-v3|hpb
124,Senior Application Support Engineer,E-tax -,"Abu Rawash, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/SJrpJNvPKq9O-Senior-Application-Support-Engineer-E-tax-Giza-Egypt?o=125&l=sp&t=sj&a=data%20science|search-v3|hpb
125,Application Support Engineer,E-tax -,"Abu Rawash, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/c5E4t8TIgSgQ-Application-Support-Engineer-E-tax-Giza-Egypt?o=126&l=sp&t=sj&a=data%20science|search-v3|hpb
126,Java Developer (KSA),IST Networks -,"Riyadh, Saudi Arabia ",Full Time,https://wuzzuf.net/jobs/p/vTj7X1iUk18p-Java-Developer-KSA-IST-Networks-Riyadh-Saudi-Arabia?o=127&l=sp&t=sj&a=data%20science|search-v3|hpb
127,Senior Full Stack .Net Developer,Neom Tech -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/v5hBSt0fw1bK-Senior-Full-Stack-Net-Developer-Neom-Tech-Cairo-Egypt?o=128&l=sp&t=sj&a=data%20science|search-v3|hpb
128,IT Help Desk,Confidential -,"Obour City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/S7daKs2zcGor-IT-Help-Desk-Cairo-Egypt?o=129&l=sp&t=sj&a=data%20science|search-v3|hpb
129,PHP Laravel Developer,Exceed -,"Cairo, Egypt ",Full TimeWork From Home,https://wuzzuf.net/jobs/p/5aUKAeJqfUj6-PHP-Laravel-Developer-Exceed-Cairo-Egypt?o=130&l=sp&t=sj&a=data%20science|search-v3|hpb
130,Senior Power BI Developer,FlairsTech -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/eOsI6R6Ld73k-Senior-Power-BI-Developer-FlairsTech-Cairo-Egypt?o=131&l=sp&t=sj&a=data%20science|search-v3|hpb
131,Full Stack Web Developer,IQRA Network -,"Cairo, Egypt ",Full TimeWork From Home,https://wuzzuf.net/jobs/p/5VwrviuXBcju-Full-Stack-Web-Developer-IQRA-Network-Cairo-Egypt?o=132&l=sp&t=sj&a=data%20science|search-v3|hpb
132,Senior Database Admin (SQL),BI-Technologies -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/O2Em9cSpb5YL-Senior-Database-Admin-SQL-BI-Technologies-Cairo-Egypt?o=133&l=sp&t=sj&a=data%20science|search-v3|hpb
133,Junior Geomatics Engineer(Civil),Micro Engineering -,"Heliopolis, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/ADF0N4F5UMHS-Junior-Geomatics-EngineerCivil-Micro-Engineering-Cairo-Egypt?o=134&l=sp&t=sj&a=data%20science|search-v3|hpb
134,Java Full Stack Team Leader,Cashcall -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/54uJ9m96LKun-Java-Full-Stack-Team-Leader-Cashcall-Cairo-Egypt?o=135&l=sp&t=sj&a=data%20science|search-v3|hpb
135,Senior Java Developer,Confidential -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/vzR3NdID52pa-Senior-Java-Developer-Cairo-Egypt?o=136&l=sp&t=sj&a=data%20science|search-v3|hpb
136,Senior Frontend Engineer,Unifonic -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/iDocEPczh9lX-Senior-Frontend-Engineer-Unifonic-Cairo-Egypt?o=137&l=sp&t=sj&a=data%20science|search-v3|hpb
137,Oracle Apex Developer,Easy System -,"Cairo, Egypt ",Full TimePart Time,https://wuzzuf.net/jobs/p/j2Y1iGScULhj-Oracle-Apex-Developer-Easy-System-Cairo-Egypt?o=138&l=sp&t=sj&a=data%20science|search-v3|hpb
138,Process Engineer,makaremtex -,"Abu Rawash, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/HYXc0b0FtuGc-Process-Engineer-makaremtex-Giza-Egypt?o=139&l=sp&t=sj&a=data%20science|search-v3|hpb
139,BI Developer,Easy System -,"Cairo, Egypt ",Full TimePart Time,https://wuzzuf.net/jobs/p/UbV5PZD7U37G-BI-Developer-Easy-System-Cairo-Egypt?o=140&l=sp&t=sj&a=data%20science|search-v3|hpb
140,IT Applications Engineer,Marakez -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/9ElQyPBVZA4b-IT-Applications-Engineer-Marakez-Cairo-Egypt?o=141&l=sp&t=sj&a=data%20science|search-v3|hpb
141,Cloud Engineer (DevOps),Dafa -,"Haram, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/hoCpHnMDm0Zm-Cloud-Engineer-DevOps-Dafa-Giza-Egypt?o=142&l=sp&t=sj&a=data%20science|search-v3|hpb
142,Senior Network Engineer,e-finance -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/wfeVOveqF2nu-Senior-Network-Engineer-e-finance-Giza-Egypt?o=143&l=sp&t=sj&a=data%20science|search-v3|hpb
143,Product Owner,Cegedim -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/V7tfqGxqfQF8-Product-Owner-Cegedim-Cairo-Egypt?o=144&l=sp&t=sj&a=data%20science|search-v3|hpb
144,[CGEG012] Product Owner,Cegedim -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/jaojOvQUVf62-CGEG012-Product-Owner-Cegedim-Cairo-Egypt?o=145&l=sp&t=sj&a=data%20science|search-v3|hpb
145,Product Owner - Cairo,Cegedim -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/t6L9DIIiBU1f-Product-Owner---Cairo-Cegedim-Cairo-Egypt?o=146&l=sp&t=sj&a=data%20science|search-v3|hpb
146,Application Support Section Head,Kanawat -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/8iPcYbTqR6O7-Application-Support-Section-Head-Kanawat-Cairo-Egypt?o=147&l=sp&t=sj&a=data%20science|search-v3|hpb
147,Senior Backend developer (Immediately),Bydotpy -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/HaDrZJUvo3sO-Senior-Backend-developer-Immediately-Bydotpy-Cairo-Egypt?o=148&l=sp&t=sj&a=data%20science|search-v3|hpb
148,Senior Java Developer,SSC Egypt -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/xfVMUkNULAIR-Senior-Java-Developer-SSC-Egypt-Cairo-Egypt?o=149&l=sp&t=sj&a=data%20science|search-v3|hpb
149,Android Developer,Anspire Agency -,"New Cairo, Cairo, Egypt ",Full TimeWork From Home,https://wuzzuf.net/jobs/p/TbMUqEK8m37D-Android-Developer-Anspire-Agency-Cairo-Egypt?o=150&l=sp&t=sj&a=data%20science|search-v3|hpb
150,Senior Dynamics CRM Developer,Fotopia -,"Dubai, United Arab Emirates ",Full Time,https://wuzzuf.net/jobs/p/BGVXJwHL5ucI-Senior-Dynamics-CRM-Developer-Fotopia-Dubai-United-Arab-Emirates?o=151&l=sp&t=sj&a=data%20science|search-v3|hpb
151,Senior Mobile Developer (iOS),Nagwa -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/tyHdGEnV1GfT-Senior-Mobile-Developer-iOS-Nagwa-Cairo-Egypt?o=152&l=sp&t=sj&a=data%20science|search-v3|hpb
152,IT Manager,New Generation International Schools  -,"Obour City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/npploh5qDKsy-IT-Manager-New-Generation-International-Schools-Cairo-Egypt?o=153&l=sp&t=sj&a=data%20science|search-v3|hpb
153,Senior Java Developer,Confidential -,"Sheraton, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/TSCwF7RmiEeD-Senior-Java-Developer-Cairo-Egypt?o=154&l=sp&t=sj&a=data%20science|search-v3|hpb
154,Senior UX/UI Designer,Confidential -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/Rfk4PfheLO37-Senior-UXUI-Designer-Cairo-Egypt?o=155&l=sp&t=sj&a=data%20science|search-v3|hpb
155,Network Administrator,Hala Consulting  -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/126c6PnmuQd7-Network-Administrator-Hala-Consulting-Giza-Egypt?o=156&l=sp&t=sj&a=data%20science|search-v3|hpb
156,Systems & Security Engineer ( Second Line Support ),Confidential -,"Obour City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/c0fsvO3yXoJh-Systems-Security-Engineer-Second-Line-Support-Cairo-Egypt?o=157&l=sp&t=sj&a=data%20science|search-v3|hpb
157,Senior Android Developer,Madar Soft -,"Fleming, Alexandria, Egypt ",Full Time,https://wuzzuf.net/jobs/p/b5LgbP4g93WN-Senior-Android-Developer-Madar-Soft-Alexandria-Egypt?o=158&l=sp&t=sj&a=data%20science|search-v3|hpb
158,Full Stack Engineer,Contech Global -,"Cairo, Egypt ",Full TimeWork From Home,https://wuzzuf.net/jobs/p/Z8RC67S3MPLf-Full-Stack-Engineer-Contech-Global-Cairo-Egypt?o=159&l=sp&t=sj&a=data%20science|search-v3|hpb
159,Trevipay| Senior Software Testing Engineer - El Gouna,Kalasko -,"Hurghada, Red Sea, Egypt ",Full Time,https://wuzzuf.net/jobs/p/R4xwRMMNrQpe-Trevipay-Senior-Software-Testing-Engineer---El-Gouna-Kalasko-Red-Sea-Egypt?o=160&l=sp&t=sj&a=data%20science|search-v3|hpb
160,IT Supervisor Network and System Administrator,Shabana Group  -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/TXTn75Ep4BAL-IT-Supervisor-Network-and-System-Administrator-Shabana-Group-Cairo-Egypt?o=161&l=sp&t=sj&a=data%20science|search-v3|hpb
161,R&D - Formulation Senior Specialist,Delta Pharma Egypt -,"10th of Ramadan City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/7RibcVIekTcF-RD---Formulation-Senior-Specialist-Delta-Pharma-Egypt-Cairo-Egypt?o=162&l=sp&t=sj&a=data%20science|search-v3|hpb
162,Developers Team Leader,Abudiyab rent a car -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/nRNRNxpAGBLx-Developers-Team-Leader-Abudiyab-rent-a-car-Cairo-Egypt?o=163&l=sp&t=sj&a=data%20science|search-v3|hpb
163,C++ Senior Developer,TensorGraph -,"Maadi, Cairo, Egypt ",Full TimeShift Based,https://wuzzuf.net/jobs/p/wH59PnPuF8Pg-C-Senior-Developer-TensorGraph-Cairo-Egypt?o=164&l=sp&t=sj&a=data%20science|search-v3|hpb
164,Junior PHP Developer,Lex -,"San Stefano, Alexandria, Egypt ",Full Time,https://wuzzuf.net/jobs/p/opLAVmoTL0PC-Junior-PHP-Developer-Lex-Alexandria-Egypt?o=165&l=sp&t=sj&a=data%20science|search-v3|hpb
165,Senior .Net Developer,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/VzwwjmANXuqi-Senior-Net-Developer-Cairo-Egypt?o=166&l=sp&t=sj&a=data%20science|search-v3|hpb
166,Intermediate PHP Developer,Confidential -,"San Stefano, Alexandria, Egypt ",Full Time,https://wuzzuf.net/jobs/p/JVjbHY7Y1reN-Intermediate-PHP-Developer-Alexandria-Egypt?o=167&l=sp&t=sj&a=data%20science|search-v3|hpb
167,Quality Assurance Lead,FlairsTech -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/Vq3HSgLc1MVJ-Quality-Assurance-Lead-FlairsTech-Cairo-Egypt?o=168&l=sp&t=sj&a=data%20science|search-v3|hpb
168,.Net Development Team-Lead,Kick Start Interactive -,"Dokki, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/HAfNsyIt12Nk-Net-Development-Team-Lead-Kick-Start-Interactive-Giza-Egypt?o=169&l=sp&t=sj&a=data%20science|search-v3|hpb
169,IT Manager,Windrose Academy -,"Katameya, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/Cn2TNcWn1JFj-IT-Manager-Windrose-Academy-Cairo-Egypt?o=170&l=sp&t=sj&a=data%20science|search-v3|hpb
170,Senior Professional Services,FlairsTech -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/xnMXlfX8Ssnj-Senior-Professional-Services-FlairsTech-Cairo-Egypt?o=171&l=sp&t=sj&a=data%20science|search-v3|hpb
171,Senior Java Developer,AllegianceMD -,"Mokattam, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/M0fjpZUveVl8-Senior-Java-Developer-AllegianceMD-Cairo-Egypt?o=172&l=sp&t=sj&a=data%20science|search-v3|hpb
172,Production Dispensing Section Head (Pharmaceutical),Confidential -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/wgBylJDEF9lb-Production-Dispensing-Section-Head-Pharmaceutical-Giza-Egypt?o=173&l=sp&t=sj&a=data%20science|search-v3|hpb
173,IT Generalist,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/ggRzk1QE5zg1-IT-Generalist-Cairo-Egypt?o=174&l=sp&t=sj&a=data%20science|search-v3|hpb
174,Software Support Engineer,Al Amin Technological Systems -,"Heliopolis, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/4x8uaM1YzzO4-Software-Support-Engineer-Al-Amin-Technological-Systems-Cairo-Egypt?o=175&l=sp&t=sj&a=data%20science|search-v3|hpb
175,ML Engineer - Recommendation System,TensorGraph -,"Maadi, Cairo, Egypt ",Part TimeFreelance / Project,https://wuzzuf.net/jobs/p/bevYQMKRLEmI-ML-Engineer---Recommendation-System-TensorGraph-Cairo-Egypt?o=176&l=sp&t=sj&a=data%20science|search-v3|hpb
176,Senior Devops Engineer,Trufla -,"Heliopolis, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/rdDBRL5vRoBQ-Senior-Devops-Engineer-Trufla-Cairo-Egypt?o=177&l=sp&t=sj&a=data%20science|search-v3|hpb
177,DevOps Team Lead,Trufla -,"Heliopolis, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/sj0SjweGn9TS-DevOps-Team-Lead-Trufla-Cairo-Egypt?o=178&l=sp&t=sj&a=data%20science|search-v3|hpb
178,Senior IT Help Desk Specialist,Taj Misr Developments  -,"Heliopolis, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/eVfD2lIReD9l-Senior-IT-Help-Desk-Specialist-Taj-Misr-Developments-Cairo-Egypt?o=179&l=sp&t=sj&a=data%20science|search-v3|hpb
179,CAFM System Admin,Qsource -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/1nKP8e1Au40i-CAFM-System-Admin-Qsource-Giza-Egypt?o=180&l=sp&t=sj&a=data%20science|search-v3|hpb
180,Customer Success Specialist (AIT-JO146),Alnafitha -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/iqCZ5X2zWgee-Customer-Success-Specialist-AIT-JO146-Alnafitha-Cairo-Egypt?o=181&l=sp&t=sj&a=data%20science|search-v3|hpb
181,System Analyst,Simple Way Digital Solution -,"Shorouk City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/Cm1GiRcWcBec-System-Analyst-Simple-Way-Digital-Solution-Cairo-Egypt?o=182&l=sp&t=sj&a=data%20science|search-v3|hpb
182,Sales Account Manager,BlueCloud -,"Sheraton, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/BDZRqTjXMSSx-Sales-Account-Manager-BlueCloud-Cairo-Egypt?o=183&l=sp&t=sj&a=data%20science|search-v3|hpb
183,Tech Lead and System Analyst,Dafa -,"Haram, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/krdZl1GdrxAP-Tech-Lead-and-System-Analyst-Dafa-Giza-Egypt?o=184&l=sp&t=sj&a=data%20science|search-v3|hpb
184,Medical Representative ( Cairo - Downtown ),ADWIA Pharmaceuticals Co. -,"Downtown, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/XrlX7MbcRYx5-Medical-Representative-Cairo---Downtown-ADWIA-Pharmaceuticals-Co-Cairo-Egypt?o=185&l=sp&t=sj&a=data%20science|search-v3|hpb
185,Network and Security Admin (Cairo Residents Only),Amiral Holdings Limited -,"Heliopolis, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/GtPZe0jbaG9p-Network-and-Security-Admin-Cairo-Residents-Only-Amiral-Holdings-Limited-Cairo-Egypt?o=186&l=sp&t=sj&a=data%20science|search-v3|hpb
186,Front End Developer,International Advanced  -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/PmbdUZMugdh3-Front-End-Developer-International-Advanced-Cairo-Egypt?o=187&l=sp&t=sj&a=data%20science|search-v3|hpb
187,Web Developer,Flojics -,"Alexandria, Egypt ",Full Time,https://wuzzuf.net/jobs/p/ymGucmZ1g9bu-Web-Developer-Flojics-Alexandria-Egypt?o=188&l=sp&t=sj&a=data%20science|search-v3|hpb
188,Software Tester,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/PLodTXNEVNUi-Software-Tester-Etisalat-Egypt-Cairo-Egypt?o=189&l=sp&t=sj&a=data%20science|search-v3|hpb
189,IT Help Desk Specialist,Webhelp -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/y795aAP23l0w-IT-Help-Desk-Specialist-Webhelp-Cairo-Egypt?o=190&l=sp&t=sj&a=data%20science|search-v3|hpb
190,Supply Chain Manager,Zeta Pharma -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/BOxbxpFUYULd-Supply-Chain-Manager-Zeta-Pharma-Cairo-Egypt?o=191&l=sp&t=sj&a=data%20science|search-v3|hpb
191,Android Developer, Lactalis Halawa -,"Obour City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/GbZ5AixwS4oT-Android-Developer-Lactalis-Halawa-Cairo-Egypt?o=192&l=sp&t=sj&a=data%20science|search-v3|hpb
192,IT Administrator,Confidential -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/qcDOgCE0Momt-IT-Administrator-Cairo-Egypt?o=193&l=sp&t=sj&a=data%20science|search-v3|hpb
193,Senior Software Tester - Cairo,Etisalat Egypt -,"Maadi, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/lhDjn5DArsZf-Senior-Software-Tester---Cairo-Etisalat-Egypt-Cairo-Egypt?o=194&l=sp&t=sj&a=data%20science|search-v3|hpb
194,Network Engineer,Talaat Moustafa Group -,"Madinaty, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/BRg4eJ7wsqLm-Network-Engineer-Talaat-Moustafa-Group-Cairo-Egypt?o=195&l=sp&t=sj&a=data%20science|search-v3|hpb
195,Network Instructor,MICA -,"Haram, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/QhBCb4j9OjFL-Network-Instructor-MICA-Giza-Egypt?o=196&l=sp&t=sj&a=data%20science|search-v3|hpb
196,Product Specialist (Delta),Ghalioungui  -,"Dakahlia, Egypt ",Full Time,https://wuzzuf.net/jobs/p/4rDqJfxtinNm-Product-Specialist-Delta-Ghalioungui-Dakahlia-Egypt?o=197&l=sp&t=sj&a=data%20science|search-v3|hpb
197,Product Specialist (Medical Devices),Ghalioungui  -,"Mokattam, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/OT4aBqP4Odf2-Product-Specialist-Medical-Devices-Ghalioungui-Cairo-Egypt?o=198&l=sp&t=sj&a=data%20science|search-v3|hpb
198,Junior Operations Engineer - Network/Cloud,Link Datacenter -,"Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/wYLwKnmshOCX-Junior-Operations-Engineer---NetworkCloud-Link-Datacenter-Giza-Egypt?o=199&l=sp&t=sj&a=data%20science|search-v3|hpb
199,Software Engineering Manager,e Aswaaq Misr -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/gLiFLsrQt6PI-Software-Engineering-Manager-e-Aswaaq-Misr-Giza-Egypt?o=200&l=sp&t=sj&a=data%20science|search-v3|hpb
200,Backend Developer,Venu Apps -,"Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/sJ2iowBn0IME-Backend-Developer-Venu-Apps-Cairo-Egypt?o=201&l=sp&t=sj&a=data%20science|search-v3|hpb
201,Sourcing Specialist,Medali -,"Sheikh Zayed, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/5jOF0qbgFXEL-Sourcing-Specialist-Medali-Giza-Egypt?o=202&l=sp&t=sj&a=data%20science|search-v3|hpb
202,Senior Software Technical Support Engineer,eVision -,"New Cairo, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/mTq2kJqUwF82-Senior-Software-Technical-Support-Engineer-eVision-Cairo-Egypt?o=203&l=sp&t=sj&a=data%20science|search-v3|hpb
203,Oracle Developer,Centro CDX -,"Maadi, Cairo, Egypt ",Part Time,https://wuzzuf.net/jobs/p/GRMJ2RTiaPHa-Oracle-Developer-Centro-CDX-Cairo-Egypt?o=204&l=sp&t=sj&a=data%20science|search-v3|hpb
204,Chemical Engineer,Eagle Chemicals -,"6th of October, Giza, Egypt ",Full Time,https://wuzzuf.net/jobs/p/xcLeMKCMEeJ4-Chemical-Engineer-Eagle-Chemicals-Giza-Egypt?o=205&l=sp&t=sj&a=data%20science|search-v3|hpb
205,Backend Development Lead,Nugttah -,"Cairo, Egypt ",Full TimeWork From Home,https://wuzzuf.net/jobs/p/X0CAtdYhLGXK-Backend-Development-Lead-Nugttah-Cairo-Egypt?o=206&l=sp&t=sj&a=data%20science|search-v3|hpb
206,IBM DataPower Developer,"Telecom Systems Provider, LLC -","Basatin, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/wA8xmJUdqGGF-IBM-DataPower-Developer-Telecom-Systems-Provider-LLC-Cairo-Egypt?o=207&l=sp&t=sj&a=data%20science|search-v3|hpb
207,IT Manager,Confidential -,"Ameria, Alexandria, Egypt ",Full Time,https://wuzzuf.net/jobs/p/ZevCzrNyRnma-IT-Manager-Alexandria-Egypt?o=208&l=sp&t=sj&a=data%20science|search-v3|hpb
208,BI Developer,BBI-Consultancy -,"Nasr City, Cairo, Egypt ",Full Time,https://wuzzuf.net/jobs/p/5eg3Iy4z2qf3-BI-Developer-BBI-Consultancy-Cairo-Egypt?o=209&l=sp&t=sj&a=data%20science|search-v3|hpb
