,Model,Year,Show_Room,Mileage,Specs,Price
40,Jeep Gladiator Overland Golden Hawk Edition,2021,Sana Signal,300 KM,   Automatic   white   3.60 Lt.   6 Cylinder   Naturally Aspirated   black,"71,350 USD"
41,Volvo S90 T5,2019,Crazy Signal,"42,000 KM",   Automatic   Blue   2.00 Lt.   4 Cylinder   TurboCharged   Brown,"60,331 USD"
42,Range Rover Vogue,2015,Mawater City,"76,000 KM",   Automatic   White   5.00 Lt.   8 Cylinder   Naturally Aspirated   Brown,"35,538 USD"
43,BMW M5 Competition,2022,Mawater City,"9,000 KM",   Automatic   White   4.40 Lt.   8 Cylinder   TurboCharged   Brown,"49,312 USD"
44,GMC Yukon SLE,2020,Mawater City,"57,000 KM",   Automatic   Gray   5.30 Lt.   8 Cylinder   Naturally Aspirated   Beige,"42,149 USD"
45,Range Rover Sport Autobiography,2014,Mawater City,"79,000 KM",   Automatic   White   5.00 Lt.   8 Cylinder   Supercharged   Red,"60,331 USD"
46,Dodge Ram 1500 Rebel,2019,Mawater City,"35,000 KM",   Automatic   Black   5.70 Lt.   8 Cylinder   Naturally Aspirated   Black,"71,350 USD"
47,Ford Bronco Badlands,2021,West Bay,200 KM,   Automatic   Yellow   2.30 Lt.   4 Cylinder   TurboCharged   Black,"23,967 USD"
48,Dodge Ram 1500 Limited,2020,West Bay,"58,000 KM",   Automatic   Grey   5.70 Lt.   8 Cylinder   Naturally Aspirated   Black,"27,273 USD"
49,BMW X1 2.0I,2020,Sana Signal,"3,800 KM",   Automatic   Gray   2.00 Lt.   4 Cylinder   TurboCharged   beige,"26,685 USD"
50,Jeep Gladiator Golden Hawk Overland,2021,Crazy Signal,0 KM,   Automatic   White   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"68,596 USD"
51,Nissan Patrol Titanium,2017,Mawater City,"67,000 KM",   Automatic   White   5.60 Lt.   8 Cylinder   Naturally Aspirated   Brown,"67,116 USD"
52,Dodge Ram 1500 Limited,2020,Sana Signal,"58,000 KM",   Automatic   gray   5.70 Lt.   8 Cylinder   Naturally Aspirated   black,"17,080 USD"
53,Ford Bronco Badlands,2021,Sana Signal,200 KM,   Automatic   yellow   2.30 Lt.   4 Cylinder   TurboCharged   black,"79,615 USD"
54,Nissan Pathfinder SV,2020,Crazy Signal,"12,000 KM",   Automatic   Black   3.50 Lt.   6 Cylinder   Naturally Aspirated   Beige,"104,408 USD"
55,Peugeot 3008,2017,Crazy Signal,"28,000 KM",   Automatic   Silver   1.60 Lt.   4 Cylinder   Naturally Aspirated   Black,"14,326 USD"
56,Ford Mustang GT,2015,Crazy Signal,"62,000 KM",   Manual   Red   5.00 Lt.   8 Cylinder   Naturally Aspirated   Black,"46,557 USD"
57,Range Rover Vogue,2016,Mawater City,"86,000 KM",   Automatic   White   5.00 Lt.   8 Cylinder   Naturally Aspirated   Brown,"19,147 USD"
58,Chevrolet Camaro ZL1,2017,Mawater City,"75,000 KM",   Automatic   Blue   6.20 Lt.   8 Cylinder   Supercharged   Yellow & Blue,"64,739 USD"
59,Dodge Durango GT,2017,Mawater City,"89,000 KM",   Automatic   White   3.60 Lt.   6 Cylinder   Naturally Aspirated   Beige,"35,538 USD"
60,Range Rover Vouge HSE,2023,Mawater City,0 KM,   Automatic   White   3.00 Lt.   6 Cylinder   Supercharged   Beige,"35,538 USD"
61,Volvo XC90 AWD,2016,Sana Signal,"103,000 KM",   Automatic   white   2.00 Lt.   4 Cylinder   TurboCharged   beige,"54,821 USD"
62,Ford Explorer 4WD,2016,Crazy Signal,"92,000 KM",   Automatic   White   3.50 Lt.   6 Cylinder   Naturally Aspirated   Beige,"84,023 USD"
63,Toyota Fortuner EXR,2019,Dubai Free Zone,"120,000 KM",   Automatic   White   2.70 Lt.   4 Cylinder   Naturally Aspirated   Orange,"63,086 USD"
64,Dodge Ram 1500 Limited,2022,Mawater City,"4,000 KM",   Automatic   Black   5.70 Lt.   8 Cylinder   Naturally Aspirated   Black,"73,830 USD"
65,Dodge Ram Rebel GT,2022,Mawater City,400 KM,   Automatic   White   5.70 Lt.   8 Cylinder   Naturally Aspirated   Black,"43,802 USD"
66,Ford Bronco Badlands,2021,Dubai Free Zone,0 KM,   Automatic   Black   2.30 Lt.   4 Cylinder   TurboCharged   Black,"48,210 USD"
67,Ford Explorer AWD,2016,Sana Signal,"62,000 KM",   Automatic   white   3.60 Lt.   6 Cylinder   Naturally Aspirated   beige,"129,202 USD"
68,Porsche Cayenne GTS,2016,Sana Signal,"57,000 KM",   Automatic   white   3.60 Lt.   6 Cylinder   TurboCharged   black,"71,350 USD"
69,Mercedes Benz E300,2022,Mawater City,0 KM,   Automatic   White   2.00 Lt.   4 Cylinder   TurboCharged   Beige,"38,293 USD"
70,Volkswagen Beetle,2015,Mawater City,"35,000 KM",   Automatic   Silver   2.00 Lt.   4 Cylinder   TurboCharged   Beige,"46,557 USD"
71,Lotus Exige 390 Sport Final Edition,2022,Mawater City,0 KM,   Manual   White   3.50 Lt.   6 Cylinder   Supercharged   Black,"23,967 USD"
72,Hyundai Santafe 4WD,2015,Crazy Signal,"78,000 KM",   Automatic   Red   3.30 Lt.   6 Cylinder   Naturally Aspirated   Beige,"64,739 USD"
