,Model,Year,Show_Room,Mileage,Specs,Price
175,Audi A7 S Line,2016,Dubai Free Zone,"124,000 KM",   Automatic   Black   3.00 Lt.   6 Cylinder   TurboCharged   Brown,"22,039 USD"
176,Ford Ranger Raptor,2022,Dubai Free Zone,0 KM,   Automatic   Gray   2.00 Lt.   4 Cylinder   TurboCharged   Black,"102,157 USD"
177,Mercedes Benz CLS 400,2016,Dubai Free Zone,"91,000 KM",   Automatic   Black   3.00 Lt.   6 Cylinder   TurboCharged   Brown,"42,858 USD"
178,Fiat Abarth 595,2018,Dubai Free Zone,"51,000 KM",   Automatic   Gray   1.40 Lt.   4 Cylinder   TurboCharged   Red,"34,771 USD"
179,Porsche Panamera 4S,2014,Dubai Free Zone,"127,000 KM",   Automatic   White   3.00 Lt.   6 Cylinder   TurboCharged   Red,"68,464 USD"
180,Dodge Charger GT,2021,Dubai Free Zone,0 KM,   Automatic   Orange   3.60 Lt.   6 Cylinder   Naturally Aspirated   Gray,"29,920 USD"
181,Dodge Ram 1500 5.7LTR,2021,Dubai Free Zone,0 KM,   Automatic   White   5.70 Lt.   8 Cylinder   Naturally Aspirated   Gray,"32,783 USD"
182,Mercedes Benz S500,2015,Dubai Free Zone,"86,000 KM",   Automatic   Black   4.70 Lt.   8 Cylinder   TurboCharged   Beige,"43,251 USD"
183,Ford Explorer Limited,2021,Dubai Free Zone,0 KM,   Automatic   Silver   2.30 Lt.   4 Cylinder   TurboCharged   Beige,"49,312 USD"
184,Toyota Land Cruiser Prado,2016,Dubai Free Zone,"157,000 KM",   Automatic   White   2.70 Lt.   4 Cylinder   Naturally Aspirated   Beige,"31,267 USD"
185,GMC Savana,2016,Dubai Free Zone,"84,000 KM",   Automatic   White   6.00 Lt.   8 Cylinder   Naturally Aspirated   Beige,"31,267 USD"
186,Range Rover Sport Supercharged,2015,Dubai Free Zone,"81,000 KM",   Automatic   White   5.00 Lt.   8 Cylinder   Supercharged   Brown,"45,553 USD"
187,Mazda 3,2018,Dubai Free Zone,"71,000 KM",   Automatic   White   1.60 Lt.   4 Cylinder   Naturally Aspirated   Beige,"34,771 USD"
188,Bentley Continental GT Speed,2014,Dubai Free Zone,"52,000 KM",   Automatic   Black   6.00 Lt.   12 Cylinder   TurboCharged   Black,"20,937 USD"
189,Range Rover Velar P380 R Dynamic,2018,Dubai Free Zone,"56,000 KM",   Automatic   White   3.00 Lt.   6 Cylinder   Supercharged   Brown,"39,893 USD"
190,Mercedes Benz S600,2008,Dubai Free Zone,"67,000 KM",   Automatic   Silver   5.00 Lt.   8 Cylinder   Naturally Aspirated   Beige,"67,116 USD"
191,Chevrolet Silverado LT ZL1 Trail Boss,2021,Dubai Free Zone,0 KM,   Automatic   Red   5.30 Lt.   8 Cylinder   Naturally Aspirated   Gray,"39,945 USD"
192,Borgward BX5,2019,Crazy Signal,"42,000 KM",   Automatic   White   2.00 Lt.   4 Cylinder   TurboCharged   Brown,"22,039 USD"
193,Jeep Gladiator Overland,2021,Mawater City,0 KM,   Automatic   White   3.60 Lt.   6 Cylinder   TurboCharged   Black,"22,039 USD"
194,Ford F150 XLT Ecoboost,2017,Mawater City,"100,000 KM",   Automatic   White   3.50 Lt.   6 Cylinder   TurboCharged   Gray,"22,912 USD"
195,Ford Bronco Wildtrack,2021,Mawater City,300 KM,   Automatic   Red   2.70 Lt.   6 Cylinder   TurboCharged   Black,"18,599 USD"
196,Ford Bronco Wildtrack,2021,Mawater City,"3,500 KM",   Automatic   Black   2.70 Lt.   6 Cylinder   TurboCharged   Black,"8,816 USD"
197,Mini Cooper Countryman,2016,Sana Signal,"75,000 KM",   Automatic   blue   2.00 Lt.   4 Cylinder   Naturally Aspirated   black,"20,937 USD"
198,Range Rover Classic,1991,Mawater City,"153,500 KM",   Manual   Green   3.90 Lt.   8 Cylinder   Naturally Aspirated   Brown,"53,639 USD"
199,Mercedes Benz E500,1994,Mawater City,"227,000 KM",   Automatic   Black   5.00 Lt.   8 Cylinder   Naturally Aspirated   Beige,"56,335 USD"
200,Bentley Flying Spur,2015,Mawater City,"15,000 KM",   Automatic   Black   4.00 Lt.   8 Cylinder   Naturally Aspirated   Beige,"10,193 USD"
201,Peugeot 301,2017,West Bay,"72,000 KM",   Automatic   black   1.60 Lt.   4 Cylinder   Naturally Aspirated   black,"11,846 USD"
202,Chevrolet Silverado Trailboss Z71,2021,West Bay,30 KM,   Automatic   gray   5.30 Lt.   8 Cylinder   Naturally Aspirated   gray,"38,293 USD"
203,Peugeot 301,2017,Sana Signal,"71,000 KM",   Automatic   black   1600.00 Lt.   4 Cylinder   Naturally Aspirated   Black Cloth,"10,193 USD"
204,Chevrolet Silverado Trailboss Z71,2021,West Bay,0 KM,   Automatic   Red   5.30 Lt.   8 Cylinder   Naturally Aspirated   Grey,"46,528 USD"
205,Jeep Grand Cherokee Limited L,2021,Mawater City,0 KM,   Automatic   White   3.60 Lt.   6 Cylinder   Naturally Aspirated   Beige,"46,528 USD"
206,MG ZS,2020,Mawater City,0 KM,   Automatic   Red   1.50 Lt.   4 Cylinder   TurboCharged   Brown,"9,642 USD"
207,Fiat Ducato ( Diesel ),2021,Mawater City,0 KM,   Manual   White   2.30 Lt.   4 Cylinder   TurboCharged   Black,0 USD
208,MG ZS,2020,Mawater City,0 KM,   Automatic   Blue   1.50 Lt.   4 Cylinder   TurboCharged   Brown,0 USD
209,Jeep Grand Cherokee Limited L,2021,West Bay,0 KM,   Automatic   Black   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"206,200 USD"
210,Peugeot 301,2017,West Bay,"36,000 KM",   Automatic   Blue   1.60 Lt.   4 Cylinder   Naturally Aspirated   Black,"159,030 USD"
211,Alfa Romeo Giulitta,2020,Mawater City,"30,000 KM",   Automatic   Red   2.00 Lt.   4 Cylinder   TurboCharged   Black,"30,556 USD"
212,Jeep Grand Cherokee Limited L,2021,Mawater City,0 KM,   Automatic   Gray   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"66,667 USD"
213,Jeep Grand Cherokee Limited L,2021,Crazy Signal,0 KM,   Automatic   Black   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"69,445 USD"
214,Jeep Grand Cherokee Limited L,2021,Sana Signal,67 KM,   Automatic   black   3.60 Lt.   6 Cylinder   Naturally Aspirated   black,"95,139 USD"
215,Chevrolet Silverado LT ZL1 Trail Boss,2021,Mawater City,0 KM,   Automatic   Gray   5.30 Lt.   8 Cylinder   Naturally Aspirated   Gray,"30,556 USD"
216,Mitsubishi Pajero 3.0 Gold Edition Full Option,2022,Mawater City,0 KM,   Automatic   White   3.00 Lt.   6 Cylinder   Naturally Aspirated   Black,"43,802 USD"
217,BMW X3 XDrive 28i,2017,Dubai Free Zone,"63,000 KM",   Automatic   Black   2.00 Lt.   4 Cylinder   TurboCharged   Brown,"24,862 USD"
218,Dodge Charger SE,2021,Dubai Free Zone,0 KM,   Automatic   Silver   3.60 Lt.   6 Cylinder   Naturally Aspirated   Gray,"11,667 USD"
219,Toyota Hilux SR5 4X4 Diesel,2017,Crazy Signal,"91,000 KM",   Manual   White   2.50 Lt.   4 Cylinder   TurboCharged   Red,"17,987 USD"
220,Mercedes Benz GLE43 AMG,2017,Dubai Free Zone,"114,000 KM",   Automatic   White   3.00 Lt.   6 Cylinder   TurboCharged   Brown,"16,389 USD"
221,Jeep Wrangler Sport,2021,Dubai Free Zone,0 KM,   Automatic   Gray   3.60 Lt.   6 Cylinder   Naturally Aspirated   Black,"47,223 USD"
222,Honda Accord EX,2016,Dubai Free Zone,"113,000 KM",   Automatic   Gray   2.40 Lt.   4 Cylinder   Naturally Aspirated   Beige,"20,417 USD"
223,BMW X5 M Power,2020,Dubai Free Zone,"48,000 KM",   Automatic   Blue   4.40 Lt.   8 Cylinder   TurboCharged   Brown,"7,548 USD"
224,Dodge Ram Laramie,2020,Dubai Free Zone,"99,000 KM",   Automatic   Gray   5.70 Lt.   8 Cylinder   Naturally Aspirated   Beige,"106,945 USD"
225,BMW 335i,2008,Dubai Free Zone,"128,000 KM",   Automatic   Red   3.00 Lt.   6 Cylinder   TurboCharged   Black,"29,381 USD"
226,Audi Q7,2016,Dubai Free Zone,"149,000 KM",   Automatic   Gray   3.00 Lt.   6 Cylinder   TurboCharged   Beige,"10,139 USD"
227,Nissan Patrol LE,2021,Dubai Free Zone,"27,000 KM",   Automatic   Gray   5.60 Lt.   8 Cylinder   Naturally Aspirated   Brown,"17,084 USD"
228,Volkswagen Golf GTI,2019,Dubai Free Zone,"136,000 KM",   Automatic   White   2.00 Lt.   4 Cylinder   TurboCharged   Black,"10,139 USD"
229,Ford Explorer Limited,2021,Crazy Signal,0 KM,   Automatic   White   2.30 Lt.   4 Cylinder   TurboCharged   Beige,"7,548 USD"
230,Dodge Challenger SXT,2021,Sana Signal,0 KM,   Automatic   Silver   3.60 Lt.   6 Cylinder   Naturally Aspirated   Gray,"56,250 USD"
231,Chevrolet Silverado LT 2500HD,2021,Mawater City,"5,000 KM",   Automatic   Black   6.60 Lt.   8 Cylinder   Naturally Aspirated   Gray,"17,362 USD"
